Asset,Model,MSE,MAE,AIC,BIC,LogLikelihood,Model_Type,Engine,Data_Source,Source_File,Sheet_Name
MSFT,NF_gjrGARCH,0.0003736338038121,0.0136043238954119,-25241.610057291,-25203.1190944959,12626.8050286455,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
PG,NF_gjrGARCH,0.0001712091782978,0.0090226414152989,-29039.420367809,-29000.9294050139,14525.7101839045,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
CAT,NF_gjrGARCH,0.0005080701176834,0.016007182526426,-23583.0816195265,-23544.5906567314,11797.5408097632,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
WMT,NF_gjrGARCH,0.0002136441520831,0.0101085229508642,-27935.3589610188,-27896.8679982237,13973.6794805094,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
AMZN,NF_gjrGARCH,0.0007001299466371,0.0183027855783028,-22400.0835745185,-22361.5926117234,11206.0417872593,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
EURUSD,NF_eGARCH,0.0001079686150129,0.0090981010052797,49151.6959605564,49190.1869233515,-24569.8479802782,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
NVDA,NF_eGARCH,0.0014555560274839,0.0275136128416702,-19334.5137728707,-19296.0228100756,9673.25688643535,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
CAT,NF_eGARCH,3.54256054723052,1.88204458760994,52386.7493445408,52425.2403073359,-26187.3746722704,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
EURUSD,fGARCH,3.76305936305763e-05,0.0044733740861561,-34586.3649111898,-34547.8739483947,17299.1824555949,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPUSD,fGARCH,4.67110949008318e-05,0.0048793724750327,-34143.5793159374,-34105.0883531423,17077.7896579687,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPCNY,fGARCH,4.65353344511149e-05,0.0049409846436713,-34229.3263959653,-34190.8354331702,17120.6631979826,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
USDZAR,fGARCH,0.0001738804973186,0.009766135404879,-28681.2154638213,-28642.7245010262,14346.6077319106,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPZAR,fGARCH,0.0001406185333965,0.0087463944078197,-29514.4191158516,-29475.9281530565,14763.2095579258,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
