Asset,Model,MSE,MAE,AIC,BIC,LogLikelihood,Data_Source,Source_File,Sheet_Name
GBPUSD,gjrGARCH,5.349107517056e-05,0.005246451849449,-34124.7483549712,-34086.2573921761,17068.3741774856,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,gjrGARCH,5.10992956752979e-05,0.0051829201593857,-34215.5904892624,-34177.0995264673,17113.7952446312,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,gjrGARCH,0.000198380499331384,0.0102745254773247,-28687.4162221169,-28648.9252593218,14349.7081110585,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPZAR,gjrGARCH,0.000157764658578632,0.00915073307962846,-29523.0161174753,-29484.5251546802,14767.5080587376,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,gjrGARCH,0.000149994025868357,0.00892367943210146,-29796.2238095339,-29757.7328467388,14904.1119047669,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,gjrGARCH,0.00114179510799266,0.0241481360493949,-19808.017640428,-19769.5266776329,9910.00882021398,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,gjrGARCH,0.000373633803812178,0.0136043238954119,-25241.610057291,-25203.1190944959,12626.8050286455,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,gjrGARCH,0.000171209178297809,0.00902264141529891,-29039.420367809,-29000.9294050139,14525.7101839045,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,gjrGARCH,0.000508070117683416,0.016007182526426,-23583.0816195265,-23544.5906567314,11797.5408097632,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,gjrGARCH,0.000213644152083136,0.0101085229508642,-27935.3589610188,-27896.8679982237,13973.6794805094,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,gjrGARCH,0.00070012994663714,0.0183027855783028,-22400.0835745185,-22361.5926117234,11206.0417872593,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,eGARCH,0.000107968615012946,0.00909810100527977,49151.6959605564,49190.1869233515,-24569.8479802782,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,eGARCH,0.00145555602748395,0.0275136128416702,-19334.5137728707,-19296.0228100756,9673.25688643535,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,eGARCH,3.54256054723052,1.88204458760994,52386.7493445408,52425.2403073359,-26187.3746722704,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,fGARCH,3.76305936305763e-05,0.00447337408615617,-34586.3649111898,-34547.8739483947,17299.1824555949,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPUSD,fGARCH,4.67110949008318e-05,0.00487937247503278,-34143.5793159374,-34105.0883531423,17077.7896579687,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,fGARCH,4.65353344511149e-05,0.00494098464367139,-34229.3263959653,-34190.8354331702,17120.6631979826,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,fGARCH,0.00017388049731869,0.00976613540487909,-28681.2154638213,-28642.7245010262,14346.6077319106,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
