"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2017-02-06",2.88932490348816,57.4543762207031,69.594367980957,76.5416564941406,19.0661468505859,40.3819999694824,1.0712,1.24765,8.5366,13.2932,16.5561,14.2849
"2017-02-07",2.93415141105652,57.2647933959961,70.080078125,76.9042816162109,19.2068462371826,40.625,1.0675,1.2378,8.5538,13.4227,16.5972,14.3247
"2017-02-08",2.92134380340576,57.183536529541,70.3348922729492,76.5746231079102,19.4710140228271,40.9855003356934,1.0665,1.249,8.6102,13.4933,16.8672,14.3717
"2017-02-09",2.86641907691956,57.8335494995117,70.6056060791016,77.4399948120117,19.8356857299805,41.068000793457,1.0692,1.2556,8.6017,13.441,16.8739,14.3685
"2017-02-10",2.79844117164612,57.7793846130371,70.0482482910156,79.3768157958984,19.5313205718994,41.3730010986328,1.0629,1.2451,8.5845,13.3847,16.6954,14.24
"2017-02-13",2.66938161849976,58.4293975830078,70.318962097168,81.1817855834961,19.4595317840576,41.8264999389648,1.0629,1.2528,8.5991,13.2968,16.6603,14.1644
"2017-02-14",2.67923259735107,58.6473808288574,69.9606170654297,80.8438720703125,19.7150840759277,41.8194999694824,1.0623,1.24635,8.5557,13.2302,16.5761,14.063
"2017-02-15",2.68465161323547,58.6110610961914,72.556510925293,81.6103515625,19.7237033843994,42.1349983215332,1.0555,1.2425,8.5492,13.0132,16.2144,13.753
"2017-02-16",2.64154982566833,58.6019821166992,72.2937393188477,80.9839782714844,19.7753868103027,42.2070007324219,1.0652,1.2494,8.5646,12.9258,16.1423,13.7343
"2017-02-17",2.64105701446533,58.6928215026855,72.5326156616211,81.4702453613281,19.9189510345459,42.2535018920898,1.065,1.2416,8.5333,13.0135,16.2545,13.8535
"2017-02-21",2.73563456535339,58.5747299194336,72.9944229125977,80.8521194458008,20.5162105560303,42.8219985961914,1.0537,1.24205,8.5792,13.1186,16.2979,13.8591
"2017-02-22",2.73144245147705,58.4566612243652,72.8113021850586,80.9345169067383,20.5908679962158,42.7804985046387,1.0513,1.2434,8.5667,13.0777,16.3379,13.7348
"2017-02-23",2.47817540168762,58.6928215026855,72.5644683837891,78.7504577636719,20.4760112762451,42.6095008850098,1.0573,1.2477,8.6107,12.9296,16.1226,13.6562
"2017-02-24",2.50209593772888,58.6928215026855,72.5007629394531,78.692756652832,20.7861194610596,42.2620010375977,1.0609,1.25515,8.5731,12.9128,16.203,13.685
"2017-02-27",2.57484555244446,58.3385772705078,72.3733520507812,80.3081588745117,20.5994777679443,42.431999206543,1.0587,1.2416,8.5638,12.9714,16.0813,13.714
"2017-02-28",2.50258994102478,58.1115112304688,72.5166625976562,79.6653213500977,20.3668956756592,42.2519989013672,1.0597,1.244,8.5454,13.0141,16.1792,13.782
"2017-03-01",2.53489542007446,58.9834594726562,72.9864883422852,81.2477188110352,20.2290706634521,42.6539993286133,1.0533,1.2315,8.4734,13.0927,16.195,13.7886
